"","varname","label"
"53","m21","Subj:Would you consider the current level of food consumption of your family as:"
"54","m22","Subj:Would you consider the current level of food consumption of your family as:"
"55","m23","Subj:Would you consider the current level of food consumption of your family as:"
"56","m24","Subj:Would you consider the current level of expenditures of your family for foo"
"57","n1","Subj:Would you consider the current level of expenditures of your family for foo"
"58","n2","Subj:Would you consider the current level of expenditures of your family for foo"
"59","n3","Subj:Concern about being able to provide yourself and your family with food/basi"
"60","n4","Subj:Concern about being able to provide yourself and your family with food/basi"
"61","n5","Subj: How satisfied are you with your current financial situation?"
"62","n6","Subj: How satisfied are you with your current financial situation?"
"63","n7","Subj:Would you consider the current level of food consumption of your family as:"
"64","n10","Subj:Would you consider the current level of food consumption of your family as:"
"65","n11","Subj:Would you consider the current level of food consumption of your family as:"
"66","n12","Subj:Would you consider the current level of expenditures of your family for foo"
"67","n14","Subj:Would you consider the current level of expenditures of your family for foo"
"68","n15","Subj:Would you consider the current level of expenditures of your family for foo"
"69","n16","Subj:Concern about being able to provide yourself and your family with food/basi"
"70","n17","Subj:Concern about being able to provide yourself and your family with food/basi"
"71","n18","Subj: How satisfied are you with your current financial situation?"
"72","n19","Subj: How satisfied are you with your current financial situation?"
"73","n20","Subj:Would you consider the current level of food consumption of your family as:"
"74","n21","Subj:Would you consider the current level of food consumption of your family as:"
"75","n22","Subj:Would you consider the current level of food consumption of your family as:"
"76","n23","Subj:Would you consider the current level of expenditures of your family for foo"
"77","n24","Subj:Would you consider the current level of expenditures of your family for foo"
"78","n25","Subj:Would you consider the current level of expenditures of your family for foo"
"79","n26","Subj:Concern about being able to provide yourself and your family with food/basi"
"80","n27","Subj:Concern about being able to provide yourself and your family with food/basi"
"81","n29","Subj: How satisfied are you with your current financial situation?"
"82","n30","Subj: How satisfied are you with your current financial situation?"
"83","n31","Subj:Would you consider the current level of food consumption of your family as:"
"84","n32","Subj:Would you consider the current level of food consumption of your family as:"
"85","n34","Subj:Would you consider the current level of food consumption of your family as:"
"86","n35","Subj:Would you consider the current level of expenditures of your family for foo"
"87","n36","Subj:Would you consider the current level of expenditures of your family for foo"
"88","n37","Subj:Would you consider the current level of expenditures of your family for foo"
"89","n38","Subj:Concern about being able to provide yourself and your family with food/basi"
"90","n39","Subj:Concern about being able to provide yourself and your family with food/basi"
"91","n40","Subj: How satisfied are you with your current financial situation?"
"92","n41","Subj: How satisfied are you with your current financial situation?"
"93","n42","Subj:Would you consider the current level of food consumption of your family as:"
"94","p3","Subj:Would you consider the current level of food consumption of your family as:"
"95","p4","Subj:Would you consider the current level of food consumption of your family as:"
"96","p7","Subj:Would you consider the current level of expenditures of your family for foo"
"97","p8","Subj:Would you consider the current level of expenditures of your family for foo"
"98","p9","Subj:Would you consider the current level of expenditures of your family for foo"
"99","p10","Subj:Concern about being able to provide yourself and your family with food/basi"
"100","p11","Subj:Concern about being able to provide yourself and your family with food/basi"
"101","p12","Subj: How satisfied are you with your current financial situation?"
"102","p14","Subj: How satisfied are you with your current financial situation?"
"103","p15","Subj:Would you consider the current level of food consumption of your family as:"
"104","p16","Subj:Would you consider the current level of food consumption of your family as:"
"105","p17","Subj:Would you consider the current level of food consumption of your family as:"
"106","p18","Subj:Would you consider the current level of expenditures of your family for foo"
"107","p19","Subj:Would you consider the current level of expenditures of your family for foo"
"108","p35","Subj:Would you consider the current level of expenditures of your family for foo"
"109","p36","Subj:Concern about being able to provide yourself and your family with food/basi"
"110","p41","Subj:Concern about being able to provide yourself and your family with food/basi"
"111","r1","Subj: How satisfied are you with your current financial situation?"
"112","r2","Subj: How satisfied are you with your current financial situation?"
"113","r3","Subj:Would you consider the current level of food consumption of your family as:"
"114","r4","Subj:Would you consider the current level of food consumption of your family as:"
"115","r5","Subj:Would you consider the current level of food consumption of your family as:"
"116","r6","Subj:Would you consider the current level of expenditures of your family for foo"
"117","r7","Subj:Would you consider the current level of expenditures of your family for foo"
"118","r8","Subj:Would you consider the current level of expenditures of your family for foo"
"119","r9","Subj:Concern about being able to provide yourself and your family with food/basi"
"120","r10","Subj:Concern about being able to provide yourself and your family with food/basi"
"121","r11","Subj: How satisfied are you with your current financial situation?"
"122","r12","Subj: How satisfied are you with your current financial situation?"
"123","r13","Subj:Would you consider the current level of food consumption of your family as:"
"124","r14","Subj:Would you consider the current level of food consumption of your family as:"
"125","r15","Subj:Would you consider the current level of food consumption of your family as:"
"126","r16","Subj:Would you consider the current level of expenditures of your family for foo"
"127","r17","Subj:Would you consider the current level of expenditures of your family for foo"
"128","r18","Subj:Would you consider the current level of expenditures of your family for foo"
"129","r19","Subj:Concern about being able to provide yourself and your family with food/basi"
"130","r20","Subj:Concern about being able to provide yourself and your family with food/basi"
"131","r21","Subj: How satisfied are you with your current financial situation?"
"132","r22","Subj: How satisfied are you with your current financial situation?"
"133","r23","Subj:Would you consider the current level of food consumption of your family as:"
"134","r24","Subj:Would you consider the current level of food consumption of your family as:"
"135","r25","Subj:Would you consider the current level of food consumption of your family as:"
"136","r26","Subj:Would you consider the current level of expenditures of your family for foo"
"137","r27","Subj:Would you consider the current level of expenditures of your family for foo"
"138","r28","Subj:Would you consider the current level of expenditures of your family for foo"
"139","r29","Subj:Concern about being able to provide yourself and your family with food/basi"
"140","r30","Subj:Concern about being able to provide yourself and your family with food/basi"
"141","r31","Subj: How satisfied are you with your current financial situation?"
"142","r32","Subj: How satisfied are you with your current financial situation?"
"143","r33","Subj:Would you consider the current level of food consumption of your family as:"
"144","r34","Subj:Would you consider the current level of food consumption of your family as:"
"145","r35","Subj:Would you consider the current level of food consumption of your family as:"
"146","r36","Subj:Would you consider the current level of expenditures of your family for foo"
"147","r37","Subj:Would you consider the current level of expenditures of your family for foo"
"148","r38","Subj:Would you consider the current level of expenditures of your family for foo"
"149","r39","Subj:Concern about being able to provide yourself and your family with food/basi"
"150","r40","Subj:Concern about being able to provide yourself and your family with food/basi"
"151","r41","Subj: How satisfied are you with your current financial situation?"
"152","r42","Subj: How satisfied are you with your current financial situation?"
"153","r43","Subj:Would you consider the current level of food consumption of your family as:"
"154","r44","Subj:Would you consider the current level of food consumption of your family as:"
"155","r45","Subj:Would you consider the current level of food consumption of your family as:"
"156","r46","Subj:Would you consider the current level of expenditures of your family for foo"
"157","r47","Subj:Would you consider the current level of expenditures of your family for foo"
"158","b1","Subj:Would you consider the current level of expenditures of your family for foo"
"159","b2","Subj:Concern about being able to provide yourself and your family with food/basi"
"160","b3","Subj:Concern about being able to provide yourself and your family with food/basi"
"161","b4","Subj: How satisfied are you with your current financial situation?"
"162","b5","Subj: How satisfied are you with your current financial situation?"
"163","b6","Subj:Would you consider the current level of food consumption of your family as:"
"164","b7","Subj:Would you consider the current level of food consumption of your family as:"
"165","b8","Subj:Would you consider the current level of food consumption of your family as:"
"166","b9","Subj:Would you consider the current level of expenditures of your family for foo"
"167","b10","Subj:Would you consider the current level of expenditures of your family for foo"
"168","b11","Subj:Would you consider the current level of expenditures of your family for foo"
"169","b12","Subj:Concern about being able to provide yourself and your family with food/basi"
"170","b13","Subj:Concern about being able to provide yourself and your family with food/basi"
"171","b14","Subj: How satisfied are you with your current financial situation?"
"172","b15","Subj: How satisfied are you with your current financial situation?"
"173","b16","Subj:Would you consider the current level of food consumption of your family as:"
"174","b17","Subj:Would you consider the current level of food consumption of your family as:"
"175","b18","Subj:Would you consider the current level of food consumption of your family as:"
"176","b19","Subj:Would you consider the current level of expenditures of your family for foo"
"177","b20","Subj:Would you consider the current level of expenditures of your family for foo"
"178","b21","Subj:Would you consider the current level of expenditures of your family for foo"
"179","b22","Subj:Concern about being able to provide yourself and your family with food/basi"
"180","b23","Subj:Concern about being able to provide yourself and your family with food/basi"
"181","b24","Subj: How satisfied are you with your current financial situation?"
"182","b25","Subj: How satisfied are you with your current financial situation?"
"183","b26","Subj:Would you consider the current level of food consumption of your family as:"
"184","b27","Subj:Would you consider the current level of food consumption of your family as:"
"185","b28","Subj:Would you consider the current level of food consumption of your family as:"
"186","b29","Subj:Would you consider the current level of expenditures of your family for foo"
"187","b30","Subj:Would you consider the current level of expenditures of your family for foo"
"188","b31","Subj:Would you consider the current level of expenditures of your family for foo"
"189","b32","Subj:Concern about being able to provide yourself and your family with food/basi"
"190","b33","Subj:Concern about being able to provide yourself and your family with food/basi"
"191","b34","Subj: How satisfied are you with your current financial situation?"
"192","b35","Subj: How satisfied are you with your current financial situation?"
"193","b36","Subj:Would you consider the current level of food consumption of your family as:"
"194","b37","Subj:Would you consider the current level of food consumption of your family as:"
"195","b38","Subj:Would you consider the current level of food consumption of your family as:"
"196","b39","Subj:Would you consider the current level of expenditures of your family for foo"
"197","b40","Subj:Would you consider the current level of expenditures of your family for foo"
"198","b41","Subj:Would you consider the current level of expenditures of your family for foo"
"199","b42","Subj:Concern about being able to provide yourself and your family with food/basi"
"200","b43","Subj:Concern about being able to provide yourself and your family with food/basi"
"201","b44","Subj: How satisfied are you with your current financial situation?"
"202","b45","Subj: How satisfied are you with your current financial situation?"
"203","b46","Subj:Would you consider the current level of food consumption of your family as:"
"204","q1","Subj:Would you consider the current level of food consumption of your family as:"
"205","q2","Subj:Would you consider the current level of food consumption of your family as:"
"206","q3","Subj:Would you consider the current level of expenditures of your family for foo"
"207","q4","Subj:Would you consider the current level of expenditures of your family for foo"
"208","q5","Subj:Would you consider the current level of expenditures of your family for foo"
"209","q6","Subj:Concern about being able to provide yourself and your family with food/basi"
"210","q7","Subj:Concern about being able to provide yourself and your family with food/basi"
"211","q8","Subj: How satisfied are you with your current financial situation?"
"212","q9","Subj: How satisfied are you with your current financial situation?"
"213","q10","Subj:Would you consider the current level of food consumption of your family as:"
"214","q11","Subj:Would you consider the current level of food consumption of your family as:"
"215","q12","Subj:Would you consider the current level of food consumption of your family as:"
"216","q13","Subj:Would you consider the current level of expenditures of your family for foo"
"217","q14","Subj:Would you consider the current level of expenditures of your family for foo"
"218","q15","Subj:Would you consider the current level of expenditures of your family for foo"
"219","q16","Subj:Concern about being able to provide yourself and your family with food/basi"
"220","q17","Subj:Concern about being able to provide yourself and your family with food/basi"
"221","q18","Subj: How satisfied are you with your current financial situation?"
"222","q19","Subj: How satisfied are you with your current financial situation?"
"223","q20","Subj:Would you consider the current level of food consumption of your family as:"
"224","q21","Subj:Would you consider the current level of food consumption of your family as:"
"225","q22","Subj:Would you consider the current level of food consumption of your family as:"
"226","q23","Subj:Would you consider the current level of expenditures of your family for foo"
"227","q24","Subj:Would you consider the current level of expenditures of your family for foo"
"228","q25","Subj:Would you consider the current level of expenditures of your family for foo"
"229","q26","Subj:Concern about being able to provide yourself and your family with food/basi"
"230","q27","Subj:Concern about being able to provide yourself and your family with food/basi"
"231","q28","Subj: How satisfied are you with your current financial situation?"
"232","q29","Subj: How satisfied are you with your current financial situation?"
"233","q30","Subj:Would you consider the current level of food consumption of your family as:"
"234","q31","Subj:Would you consider the current level of food consumption of your family as:"
"235","q32","Subj:Would you consider the current level of food consumption of your family as:"
"236","q33","Subj:Would you consider the current level of expenditures of your family for foo"
"237","q34","Subj:Would you consider the current level of expenditures of your family for foo"
"238","q35","Subj:Would you consider the current level of expenditures of your family for foo"
"239","q36","Subj:Concern about being able to provide yourself and your family with food/basi"
"240","q37","Subj:Concern about being able to provide yourself and your family with food/basi"
"241","q38","Subj: How satisfied are you with your current financial situation?"
"242","q39","Subj: How satisfied are you with your current financial situation?"
"243","q40","Subj:Would you consider the current level of food consumption of your family as:"
"244","q41","Subj:Would you consider the current level of food consumption of your family as:"
"245","q42","Subj:Would you consider the current level of food consumption of your family as:"
"246","q43","Subj:Would you consider the current level of expenditures of your family for foo"
"247","q44","Subj:Would you consider the current level of expenditures of your family for foo"
"248","q45","Subj:Would you consider the current level of expenditures of your family for foo"
"249","q46","Subj:Concern about being able to provide yourself and your family with food/basi"
"250","s15","Subj:Concern about being able to provide yourself and your family with food/basi"
"251","s16","Subj: How satisfied are you with your current financial situation?"
"252","h1","Subj: How satisfied are you with your current financial situation?"
"253","h2","Subj:Would you consider the current level of food consumption of your family as:"
"254","h3","Subj:Would you consider the current level of food consumption of your family as:"
"255","h4","Subj:Would you consider the current level of food consumption of your family as:"
"256","h5","Subj:Would you consider the current level of expenditures of your family for foo"
"257","h6","Subj:Would you consider the current level of expenditures of your family for foo"
"258","h7","Subj:Would you consider the current level of expenditures of your family for foo"
"259","h8","Subj:Concern about being able to provide yourself and your family with food/basi"
"260","h9","Subj:Concern about being able to provide yourself and your family with food/basi"
"261","s17","Subj: How satisfied are you with your current financial situation?"
"262","s18","Subj: How satisfied are you with your current financial situation?"
"263","s19","Subj:Would you consider the current level of food consumption of your family as:"
"264","g1","Subj:Would you consider the current level of food consumption of your family as:"
"265","g2","Subj:Would you consider the current level of food consumption of your family as:"
"266","g3","Subj:Would you consider the current level of expenditures of your family for foo"
"267","g4","Subj:Would you consider the current level of expenditures of your family for foo"
"268","g5","Subj:Would you consider the current level of expenditures of your family for foo"
"269","g6","Subj:Concern about being able to provide yourself and your family with food/basi"
"270","g7","Subj:Concern about being able to provide yourself and your family with food/basi"
"271","g8","Subj: How satisfied are you with your current financial situation?"
"272","g9","Subj: How satisfied are you with your current financial situation?"
"273","g10","Subj:Would you consider the current level of food consumption of your family as:"
"274","g11","Subj:Would you consider the current level of food consumption of your family as:"
"275","g12","Subj:Would you consider the current level of food consumption of your family as:"
"276","g13","Subj:Would you consider the current level of expenditures of your family for foo"
"277","g14","Subj:Would you consider the current level of expenditures of your family for foo"
"278","g15","Subj:Would you consider the current level of expenditures of your family for foo"
"279","g16","Subj:Concern about being able to provide yourself and your family with food/basi"
"280","g17","Subj:Concern about being able to provide yourself and your family with food/basi"
"281","g18","Subj: How satisfied are you with your current financial situation?"
"282","g19","Subj: How satisfied are you with your current financial situation?"
"283","g20","Subj:Would you consider the current level of food consumption of your family as:"
"284","g21","Subj:Would you consider the current level of food consumption of your family as:"
"285","g22","Subj:Would you consider the current level of food consumption of your family as:"
"286","g23","Subj:Would you consider the current level of expenditures of your family for foo"
"287","g24","Subj:Would you consider the current level of expenditures of your family for foo"
"288","g25","Subj:Would you consider the current level of expenditures of your family for foo"
"289","g26","Subj:Concern about being able to provide yourself and your family with food/basi"
"290","g27","Subj:Concern about being able to provide yourself and your family with food/basi"
"291","g28","Subj: How satisfied are you with your current financial situation?"
"292","g29","Subj: How satisfied are you with your current financial situation?"
"293","g30","Subj:Would you consider the current level of food consumption of your family as:"
"294","g31","Subj:Would you consider the current level of food consumption of your family as:"
"295","g32","Subj:Would you consider the current level of food consumption of your family as:"
"296","g33","Subj:Would you consider the current level of expenditures of your family for foo"
"297","g34","Subj:Would you consider the current level of expenditures of your family for foo"
"298","g35","Subj:Would you consider the current level of expenditures of your family for foo"
"299","g36","Subj:Concern about being able to provide yourself and your family with food/basi"
"300","g37","Subj:Concern about being able to provide yourself and your family with food/basi"
"301","h10","Subj: How satisfied are you with your current financial situation?"
"302","h11","Subj: How satisfied are you with your current financial situation?"
"303","h12","Subj:Would you consider the current level of food consumption of your family as:"
"304","h13","Subj:Would you consider the current level of food consumption of your family as:"
"305","h14","Subj:Would you consider the current level of food consumption of your family as:"
"306","h15","Subj:Would you consider the current level of expenditures of your family for foo"
"307","h16","Subj:Would you consider the current level of expenditures of your family for foo"
"308","h17","Subj:Would you consider the current level of expenditures of your family for foo"
"309","h18","Subj:Concern about being able to provide yourself and your family with food/basi"
"310","h19","Subj:Concern about being able to provide yourself and your family with food/basi"
"311","h20","Subj: How satisfied are you with your current financial situation?"
"312","h21","Subj: How satisfied are you with your current financial situation?"
"313","h23","Subj:Would you consider the current level of food consumption of your family as:"
"314","d1","Subj:Would you consider the current level of food consumption of your family as:"
"315","d2","Subj:Would you consider the current level of food consumption of your family as:"
"316","d3","Subj:Would you consider the current level of expenditures of your family for foo"
"317","d4","Subj:Would you consider the current level of expenditures of your family for foo"
"318","d5","Subj:Would you consider the current level of expenditures of your family for foo"
"319","d6","Subj:Concern about being able to provide yourself and your family with food/basi"
"320","d7","Subj:Concern about being able to provide yourself and your family with food/basi"
"321","d8","Subj: How satisfied are you with your current financial situation?"
"322","e1","Subj: How satisfied are you with your current financial situation?"
"323","e3","Subj:Would you consider the current level of food consumption of your family as:"
"324","e4","Subj:Would you consider the current level of food consumption of your family as:"
"325","e6","Subj:Would you consider the current level of food consumption of your family as:"
"326","e7","Subj:Would you consider the current level of expenditures of your family for foo"
"327","e8","Subj:Would you consider the current level of expenditures of your family for foo"
"328","e9","Subj:Would you consider the current level of expenditures of your family for foo"
"329","e10","Subj:Concern about being able to provide yourself and your family with food/basi"
"330","e11","Subj:Concern about being able to provide yourself and your family with food/basi"
"331","e12","Subj: How satisfied are you with your current financial situation?"
"332","e13","Subj: How satisfied are you with your current financial situation?"
"333","e14","Subj:Would you consider the current level of food consumption of your family as:"
"334","e15","Subj:Would you consider the current level of food consumption of your family as:"
"335","l1","Subj:Would you consider the current level of food consumption of your family as:"
"336","l2","Subj:Would you consider the current level of expenditures of your family for foo"
"337","l3","Subj:Would you consider the current level of expenditures of your family for foo"
"338","l4","Subj:Would you consider the current level of expenditures of your family for foo"
"339","l7","Subj:Concern about being able to provide yourself and your family with food/basi"
"340","l8","Subj:Concern about being able to provide yourself and your family with food/basi"
"341","l9","Subj: How satisfied are you with your current financial situation?"
"342","l10","Subj: How satisfied are you with your current financial situation?"
"343","l11","Subj:Would you consider the current level of food consumption of your family as:"
"344","l16","Subj:Would you consider the current level of food consumption of your family as:"
"345","l19","Subj:Would you consider the current level of food consumption of your family as:"
"346","l22","Subj:Would you consider the current level of expenditures of your family for foo"
"347","l23","Subj:Would you consider the current level of expenditures of your family for foo"
"348","l34","Subj:Would you consider the current level of expenditures of your family for foo"
"349","l36","Subj:Concern about being able to provide yourself and your family with food/basi"
"350","l38","Subj:Concern about being able to provide yourself and your family with food/basi"
"351","l39","Subj: How satisfied are you with your current financial situation?"
"352","l40","Subj: How satisfied are you with your current financial situation?"
"353","l41","Subj:Would you consider the current level of food consumption of your family as:"
"354","l42","Subj:Would you consider the current level of food consumption of your family as:"
"355","j1","Subj:Would you consider the current level of food consumption of your family as:"
"356","j2","Subj:Would you consider the current level of expenditures of your family for foo"
"357","j3","Subj:Would you consider the current level of expenditures of your family for foo"
"358","j4","Subj:Would you consider the current level of expenditures of your family for foo"
"359","j5","Subj:Concern about being able to provide yourself and your family with food/basi"
"360","j6","Subj:Concern about being able to provide yourself and your family with food/basi"
"361","j7","Subj: How satisfied are you with your current financial situation?"
"362","j8","Subj: How satisfied are you with your current financial situation?"
"363","j9","Subj:Would you consider the current level of food consumption of your family as:"
"364","j10","Subj:Would you consider the current level of food consumption of your family as:"
"365","j11","Subj:Would you consider the current level of food consumption of your family as:"
"366","j12","Subj:Would you consider the current level of expenditures of your family for foo"
"367","j13","Subj:Would you consider the current level of expenditures of your family for foo"
"368","j14","Subj:Would you consider the current level of expenditures of your family for foo"
"369","j15","Subj:Concern about being able to provide yourself and your family with food/basi"
"370","j16","Subj:Concern about being able to provide yourself and your family with food/basi"
"371","j17","Subj: How satisfied are you with your current financial situation?"
"372","j18","Subj: How satisfied are you with your current financial situation?"
"373","j19","Subj:Would you consider the current level of food consumption of your family as:"
"374","j20","Subj:Would you consider the current level of food consumption of your family as:"
"375","j21","Subj:Would you consider the current level of food consumption of your family as:"
"376","j22","Subj:Would you consider the current level of expenditures of your family for foo"
"377","j23","Subj:Would you consider the current level of expenditures of your family for foo"
"378","j24","Subj:Would you consider the current level of expenditures of your family for foo"
"379","j25","Subj:Concern about being able to provide yourself and your family with food/basi"
"380","j26","Subj:Concern about being able to provide yourself and your family with food/basi"
"381","j27","Subj: How satisfied are you with your current financial situation?"
"382","j28","Subj: How satisfied are you with your current financial situation?"
"383","j29","Subj:Would you consider the current level of food consumption of your family as:"
"384","j30","Subj:Would you consider the current level of food consumption of your family as:"
"385","j31","Subj:Would you consider the current level of food consumption of your family as:"
"386","j32","Subj:Would you consider the current level of expenditures of your family for foo"
"387","j33","Subj:Would you consider the current level of expenditures of your family for foo"
"388","j34","Subj:Would you consider the current level of expenditures of your family for foo"
"389","j35","Subj:Concern about being able to provide yourself and your family with food/basi"
"390","j36","Subj:Concern about being able to provide yourself and your family with food/basi"
"391","j37","Subj: How satisfied are you with your current financial situation?"
"392","w1","Subj: How satisfied are you with your current financial situation?"
"393","w2","Subj:Would you consider the current level of food consumption of your family as:"
"394","w3","Subj:Would you consider the current level of food consumption of your family as:"
"395","w4","Subj:Would you consider the current level of food consumption of your family as:"
"396","w5","Subj:Would you consider the current level of expenditures of your family for foo"
"397","w6","Subj:Would you consider the current level of expenditures of your family for foo"
"398","w7","Subj:Would you consider the current level of expenditures of your family for foo"
"399","w8","Subj:Concern about being able to provide yourself and your family with food/basi"
"400","w9","Subj:Concern about being able to provide yourself and your family with food/basi"
"401","w10","Subj: How satisfied are you with your current financial situation?"
"402","w11","Subj: How satisfied are you with your current financial situation?"
"403","w12","Subj:Would you consider the current level of food consumption of your family as:"
"404","w15","Subj:Would you consider the current level of food consumption of your family as:"
"405","w16","Subj:Would you consider the current level of food consumption of your family as:"
"406","e5","Subj:Would you consider the current level of expenditures of your family for foo"
"407","g38","Subj:Would you consider the current level of expenditures of your family for foo"
"408","g39","Subj:Would you consider the current level of expenditures of your family for foo"
"409","g40","Subj:Concern about being able to provide yourself and your family with food/basi"
"410","g41","Subj:Concern about being able to provide yourself and your family with food/basi"
"411","g42","Subj: How satisfied are you with your current financial situation?"
"412","g43","Subj: How satisfied are you with your current financial situation?"
"413","g44","Subj:Would you consider the current level of food consumption of your family as:"
"414","g45","Subj:Would you consider the current level of food consumption of your family as:"
"415","j38","Subj:Would you consider the current level of food consumption of your family as:"
"416","j39","Subj:Would you consider the current level of expenditures of your family for foo"
"417","j40","Subj:Would you consider the current level of expenditures of your family for foo"
"418","j41","Subj:Would you consider the current level of expenditures of your family for foo"
"419","j42","Subj:Concern about being able to provide yourself and your family with food/basi"
"420","j43","Subj:Concern about being able to provide yourself and your family with food/basi"
"421","j44","Subj: How satisfied are you with your current financial situation?"
"422","j45","Subj: How satisfied are you with your current financial situation?"
"423","year","Subj:Would you consider the current level of food consumption of your family as:"
"424","urban","Subj:Would you consider the current level of food consumption of your family as:"
"425","coastal","Subj:Would you consider the current level of food consumption of your family as:"
"426","central","Subj:Would you consider the current level of expenditures of your family for foo"
"427","ur","Subj:Would you consider the current level of expenditures of your family for foo"
"428","apovline","Subj:Would you consider the current level of expenditures of your family for foo"
"429","y","Subj:Concern about being able to provide yourself and your family with food/basi"
"430","ahhw","Subj:Concern about being able to provide yourself and your family with food/basi"
"431","apsu","Subj: How satisfied are you with your current financial situation?"
"432","astrata","Subj: How satisfied are you with your current financial situation?"
"433","amuni","Subj:Would you consider the current level of food consumption of your family as:"
"434","adis","Subj:Would you consider the current level of food consumption of your family as:"
"435","obs","Subj:Would you consider the current level of food consumption of your family as:"
"436","adv_p20_s1","Subj:Would you consider the current level of expenditures of your family for foo"
"437","adv_p20_s2","Subj:Would you consider the current level of expenditures of your family for foo"
"438","adv_p20_s3","Subj:Would you consider the current level of expenditures of your family for foo"
"439","adv_p20_s4","Subj:Concern about being able to provide yourself and your family with food/basi"
"440","adv_p20_s5","Subj:Concern about being able to provide yourself and your family with food/basi"
"441","adv_p20_s6","Subj: How satisfied are you with your current financial situation?"
"442","adv_p20_s7","Subj: How satisfied are you with your current financial situation?"
"443","adv_p20_s8","Subj:Would you consider the current level of food consumption of your family as:"
"444","adv_p20_s9","Subj:Would you consider the current level of food consumption of your family as:"
"445","adv_p20_s10","Subj:Would you consider the current level of food consumption of your family as:"
"446","adv_p20_s11","Subj:Would you consider the current level of expenditures of your family for foo"
"447","adv_p20_s12","Subj:Would you consider the current level of expenditures of your family for foo"
"448","adv_p20_s13","Subj:Would you consider the current level of expenditures of your family for foo"
"449","adv_p20_s14","Subj:Concern about being able to provide yourself and your family with food/basi"
"450","adv_p20_s15","Subj:Concern about being able to provide yourself and your family with food/basi"
"451","adv_p20_s16","Subj: How satisfied are you with your current financial situation?"
"452","adv_p20_s17","Subj: How satisfied are you with your current financial situation?"
"453","adv_p20_s18","Subj:Would you consider the current level of food consumption of your family as:"
"454","adv_p20_s19","Subj:Would you consider the current level of food consumption of your family as:"
"455","adv_p20_q1","Subj:Would you consider the current level of food consumption of your family as:"
"456","adv_p20_q2","Subj:Would you consider the current level of expenditures of your family for foo"
"457","adv_p20_q3","Subj:Would you consider the current level of expenditures of your family for foo"
"458","adv_p20_q4","Subj:Would you consider the current level of expenditures of your family for foo"
"459","adv_p20_q5","Subj:Concern about being able to provide yourself and your family with food/basi"
